run_id,epoch,train_loss,val_loss,val_acc,val_precision,val_recall,val_f1,timestamp
20250504_021255,1,0.579531365531986,0.3302178420126438,0.8675,0.8721410579345088,0.8624090863803926,0.8672477707644525,2025-05-04 02:13:45
20250504_021255,2,0.28371853318254825,0.2248045552521944,0.90985,0.9441208198489752,0.8719736973199164,0.90661418138499,2025-05-04 02:14:35
20250504_021255,3,0.21687369010711122,0.19684160724282265,0.92055,0.9485028668507114,0.8900069741954767,0.9183243382163968,2025-05-04 02:15:25
20250504_021255,4,0.19094986897909036,0.1776489658281207,0.9291,0.9477402597402598,0.9088373019826641,0.9278811921472891,2025-05-04 02:16:16
20250504_021255,5,0.1668090596795082,0.16511999107897282,0.93415,0.9373119358074222,0.9310550961442662,0.9341730394361973,2025-05-04 02:17:06
20250504_021255,6,0.14664249368390794,0.16628269664943218,0.93615,0.9480360065466449,0.9233834811198566,0.9355473678897693,2025-05-04 02:17:56
20250504_021255,7,0.12736982773294894,0.159113952703774,0.9394,0.9525176904932827,0.925376108398924,0.9387507580351728,2025-05-04 02:18:46
20250504_021255,8,0.11018427521369215,0.1665396587923169,0.94045,0.9442547207713942,0.936634452525655,0.9404291502025709,2025-05-04 02:19:36
20250504_021255,9,0.09571635738899142,0.18048226535320283,0.9397,0.9475924987328941,0.9313539902361263,0.9394030750678324,2025-05-04 02:20:26
20250504_021255,10,0.08244062745470111,0.17849056404083968,0.94165,0.9398928783971434,0.944106804822158,0.9419951289825538,2025-05-04 02:21:16
20250504_021255,11,0.07080486396296044,0.1925337791442871,0.9416,0.9527309851965289,0.9297598884128724,0.9411052843888664,2025-05-04 02:22:06
20250504_021255,12,0.06062713532187676,0.21379596088081598,0.9419,0.9562043795620438,0.9266713161303178,0.9412062335559603,2025-05-04 02:22:56
