run_id,epoch,train_loss,val_loss,val_acc,val_precision,val_recall,val_f1,timestamp
20250504_022301,1,0.6704065784559412,0.5629597455263138,0.79445,0.8007511165245635,0.7859918302281558,0.7933028307104429,2025-05-04 02:23:32
20250504_022301,2,0.4436500325041302,0.31179131492972373,0.89015,0.9332449160035367,0.8412872372222776,0.88488341629552,2025-05-04 02:24:03
20250504_022301,3,0.2852022544307224,0.23909320421516894,0.9107,0.9471117372927279,0.8706784895885225,0.9072882059800664,2025-05-04 02:24:34
20250504_022301,4,0.2335856757679228,0.2057630967348814,0.92125,0.9560250053890925,0.8837301982664143,0.9184571576494952,2025-05-04 02:25:05
20250504_022301,5,0.2006544701881328,0.18106600344181062,0.9295,0.9466708087397743,0.9108299292617316,0.928404590230527,2025-05-04 02:25:36
20250504_022301,6,0.1824597059670141,0.17667942941188813,0.9312,0.9548366768196618,0.9057487297001096,0.9296451579916147,2025-05-04 02:26:07
20250504_022301,7,0.16614856596215297,0.16588911265134812,0.93385,0.9328432346513014,0.9355385075221679,0.934188927025817,2025-05-04 02:26:38
20250504_022301,8,0.1521414587179483,0.16191125698387623,0.9375,0.9544843281266163,0.9192985951977682,0.9365611043442956,2025-05-04 02:27:09
20250504_022301,9,0.13825037519810562,0.16207596734166146,0.9385,0.9456532739601254,0.9309554647803129,0.9382468119289086,2025-05-04 02:27:40
20250504_022301,10,0.12900674046348717,0.16386212017387153,0.9399,0.9537750385208013,0.9250772143070639,0.9392069593364354,2025-05-04 02:28:11
20250504_022301,11,0.12149331598716268,0.16443494018167257,0.9389,0.9580172503377326,0.9185015442861413,0.9378433367243133,2025-05-04 02:28:42
20250504_022301,12,0.11301804548602994,0.16794495228677989,0.9406,0.9485048150025343,0.9322506725117067,0.9403075067832378,2025-05-04 02:29:13
20250504_022301,13,0.1073456363342071,0.16685457136482001,0.94075,0.9461693548387097,0.9351399820663545,0.9406223380267575,2025-05-04 02:29:44
