run_id,epoch,train_loss,val_loss,val_acc,val_precision,val_recall,val_f1,timestamp
20250504_025321,1,0.40468058784379124,0.26208912491039105,0.8918,0.8848372274904682,0.9017634751419747,0.8932201717161748,2025-05-04 02:53:35
20250504_025321,2,0.2624939370638272,0.22315294461645138,0.9106,0.9160698073237163,0.9047524160605759,0.9103759398496241,2025-05-04 02:53:49
20250504_025321,3,0.228306348199275,0.21000975118890688,0.9151,0.919677906391545,0.9103317724419647,0.9149809733627078,2025-05-04 02:54:03
20250504_025321,4,0.21161272572174764,0.19894605993655076,0.9184,0.9287827772676257,0.90694430606755,0.9177336425042847,2025-05-04 02:54:17
20250504_025321,5,0.19486284991507846,0.1965952786575457,0.92035,0.9226226226226226,0.9183022815582346,0.9204573825335797,2025-05-04 02:54:30
20250504_025321,6,0.1880263057805455,0.19222327943440456,0.9213,0.9309501985945615,0.9107302978977783,0.9207292506043513,2025-05-04 02:54:44
20250504_025321,7,0.175996210084541,0.19471296259931697,0.9213,0.9192509660160507,0.9243797947593902,0.9218082463984103,2025-05-04 02:54:58
20250504_025321,8,0.1674407360507354,0.19413574372127557,0.92205,0.9184600197433366,0.926970210222178,0.9226954926364853,2025-05-04 02:55:12
20250504_025321,9,0.15982045895700006,0.19318699015743412,0.9226,0.9244075592440756,0.921091959748929,0.9227467811158798,2025-05-04 02:55:26
20250504_025321,10,0.1541536655793312,0.1923207321269497,0.9234,0.9225037257824144,0.9250772143070639,0.9237886777435081,2025-05-04 02:55:39
20250504_025321,11,0.15013757675314254,0.19005551407481455,0.92445,0.9297379032258064,0.9189000697419548,0.924287217517663,2025-05-04 02:55:53
20250504_025321,12,0.14203690325241608,0.1951373654186346,0.9245,0.9257114328507239,0.9236823752117167,0.9246957909435468,2025-05-04 02:56:07
20250504_025321,13,0.13981923623792908,0.19715348892151172,0.9242,0.9227105863676952,0.9265716847663644,0.9246371047922052,2025-05-04 02:56:21
20250504_025321,14,0.13573081302903353,0.19850021126163994,0.9247,0.9192961761525607,0.9317525156919398,0.9254824344383968,2025-05-04 02:56:35
20250504_025321,15,0.13035249235882942,0.20077219315964706,0.92465,0.9223608635373342,0.9279665238617116,0.9251552023839086,2025-05-04 02:56:49
20250504_025321,16,0.12440380113306584,0.20514054928615594,0.9238,0.9198145773744946,0.9291621002291521,0.9244647105471848,2025-05-04 02:57:03
