run_id,epoch,train_loss,val_loss,val_acc,val_precision,val_recall,val_f1,timestamp
20250504_014049,1,0.5682654206530523,0.29398128390312195,0.8819,0.8934686763047267,0.8681877054896882,0.8806467913087418,2025-05-04 01:41:58
20250504_014049,2,0.2497555882496349,0.20855132155120373,0.9168,0.9538211382113821,0.8766563714257248,0.9136122936351365,2025-05-04 01:43:08
20250504_014049,3,0.19273299446045342,0.1769652720540762,0.931,0.9531986179457649,0.9070439374315035,0.9295487032877272,2025-05-04 01:44:18
20250504_014049,4,0.16547776272488854,0.16222492661327123,0.93675,0.9545077720207253,0.9177044933745143,0.9357443998577741,2025-05-04 01:45:28
20250504_014049,5,0.14078763177839376,0.15549196153879166,0.93925,0.9515765765765766,0.9260735279465976,0.9386518555920222,2025-05-04 01:46:38
20250504_014049,6,0.11878808139491889,0.15213381983339785,0.94185,0.9480008077544426,0.9354388761582146,0.9416779499523594,2025-05-04 01:47:49
20250504_014049,7,0.09440053446944487,0.16491695120930672,0.94255,0.9497065371382312,0.9350403507024011,0.942316381344445,2025-05-04 01:48:59
20250504_014049,8,0.07128255653305579,0.1853460617363453,0.9406,0.9537483335042559,0.9265716847663644,0.939963614311704,2025-05-04 01:50:09
20250504_014049,9,0.05485662148665574,0.20357978194952012,0.94075,0.9609456363257655,0.9192985951977682,0.9396608788634859,2025-05-04 01:51:18
20250504_014049,10,0.041750445204266046,0.20485465992242097,0.93985,0.9365487250444752,0.944106804822158,0.9403125775241875,2025-05-04 01:52:28
20250504_014049,11,0.03165588940698969,0.24142749533057212,0.9411,0.9441492028476888,0.9381289229849556,0.9411294352823588,2025-05-04 01:53:38
