run_id,epoch,train_loss,val_loss,val_acc,val_precision,val_recall,val_f1,timestamp
20250504_025708,1,0.3092127136393651,0.20485408044165107,0.91475,0.9301053066281231,0.897578957855933,0.913552704963748,2025-05-04 02:57:32
20250504_025708,2,0.19890815554969093,0.17831202335418408,0.9278,0.95663726219577,0.896781906944306,0.9257430834104701,2025-05-04 02:57:56
20250504_025708,3,0.17066001390089106,0.16801259989381595,0.93145,0.9421428571428572,0.9198963833814885,0.9308867268236124,2025-05-04 02:58:19
20250504_025708,4,0.15495383297837872,0.16774528672930542,0.93465,0.9358897543439185,0.9337451429710073,0.9348162186424617,2025-05-04 02:58:43
20250504_025708,5,0.1361150522587269,0.16502776122681653,0.93455,0.9344017519410711,0.9352396134303078,0.9348204949459742,2025-05-04 02:59:07
20250504_025708,6,0.12597652117231253,0.17197516259209367,0.93615,0.9393179538615848,0.9330477234233336,0.9361723396811116,2025-05-04 02:59:31
20250504_025708,7,0.1144007735891637,0.1742867941309692,0.93545,0.9350378034222045,0.9364351897977483,0.9357359749116432,2025-05-04 02:59:54
20250504_025708,8,0.10440299618266412,0.17360659762267855,0.9367,0.9369333466175152,0.9369333466175152,0.9369333466175152,2025-05-04 03:00:18
20250504_025708,9,0.09426452277867652,0.19302733978078623,0.93355,0.9312599049128367,0.9367340838896084,0.933988973327373,2025-05-04 03:00:42
20250504_025708,10,0.08590002567656259,0.18164362290957173,0.9378,0.9474809160305343,0.9274683670419448,0.9373678380827711,2025-05-04 03:01:05
