run_id,epoch,train_loss,val_loss,val_acc,val_precision,val_recall,val_f1,timestamp
20250503_150256,1,0.569555901369806,0.2973609760403633,0.9577,0.9534287123828318,0.9627378698814387,0.9580606781677573,2025-05-03 15:03:27
20250503_150256,2,0.20457701277682336,0.11692043282091617,0.96905,0.9676266137040715,0.9708080103616619,0.9692147013477893,2025-05-03 15:03:58
20250503_150256,3,0.09539680956405099,0.07619674848392606,0.9748,0.9619149142358756,0.9889409186011756,0.9752407152682255,2025-05-03 15:04:29
20250503_150256,4,0.06496679413495428,0.055418414529412985,0.98105,0.9769853812722245,0.9854538208628076,0.9812013292991419,2025-05-03 15:04:59
20250503_150256,5,0.050558031836556175,0.04955321210436523,0.98275,0.9791378287522247,0.9866493972302481,0.982879261575108,2025-05-03 15:05:30
20250503_150256,6,0.044122488482586916,0.05011416816851124,0.98355,0.9787926612744131,0.9886420245093155,0.9836926889714994,2025-05-03 15:06:01
20250503_150256,7,0.03952231618844099,0.04912085216492414,0.9829,0.9751053611682838,0.9912324399721032,0.983102766798419,2025-05-03 15:06:32
20250503_150256,8,0.03416018409780779,0.048089743993477894,0.98355,0.9798339264531435,0.9875460795058284,0.9836748871135811,2025-05-03 15:07:03
20250503_150256,9,0.030819438453132317,0.05064911093795672,0.98365,0.9752349256068912,0.9926272790674504,0.983854243815731,2025-05-03 15:07:34
20250503_150256,10,0.02839522665934795,0.04721208272967488,0.9844,0.9810070234444555,0.9880442363255953,0.984513054700685,2025-05-03 15:08:05
20250503_150256,11,0.025408123517251115,0.04753288829524536,0.9845,0.9828253747642212,0.986350503138388,0.9845847836897066,2025-05-03 15:08:36
20250503_150256,12,0.023658527609876405,0.05038479707436636,0.9839,0.9803223573618115,0.9877453422337352,0.9840198511166253,2025-05-03 15:09:06
20250503_150256,13,0.021251896116093308,0.053552365774521604,0.98385,0.9772057378659854,0.9909335458802431,0.9840217660153352,2025-05-03 15:09:37
20250503_150256,14,0.01996236361594776,0.05295456756575732,0.98415,0.9809024341975064,0.9876457108697818,0.98426252296083,2025-05-03 15:10:08
20250503_150256,15,0.018398367945830954,0.05821331725746859,0.9832,0.9750269317402801,0.9919298595197769,0.9834057684709601,2025-05-03 15:10:39
