run_id,epoch,train_loss,val_acc,val_precision,val_recall,val_f1,timestamp
20250321_144107,1,0.36181947406457393,0.90188,0.9466996117190257,0.8529856086507116,0.8974026517211092,2025-03-21 14:41:28
20250321_144107,2,0.22490552949662113,0.91744,0.9291370724140746,0.9049057803927805,0.9168613550310158,2025-03-21 14:41:49
20250321_144107,3,0.19091349353595655,0.92428,0.937366955952186,0.9103124751530571,0.9236416441450527,2025-03-21 14:42:11
20250321_144107,4,0.17237999812275373,0.92784,0.952989656042385,0.9010097797566987,0.926271047899297,2025-03-21 14:42:32
20250321_144107,5,0.1610013889719029,0.9306,0.9421696574225122,0.9184225172934722,0.930144542416556,2025-03-21 14:42:53
20250321_144107,6,0.14656520477768514,0.93124,0.9494949494949495,0.9118231692772522,0.9302778341107281,2025-03-21 14:43:15
20250321_144107,7,0.14009790102235314,0.93336,0.9409910274027968,0.9255784368291325,0.9332210998877666,2025-03-21 14:43:36
20250321_144107,8,0.12923458436516677,0.93428,0.9479678793838086,0.9198537012006043,0.9336992050361164,2025-03-21 14:43:57
20250321_144107,9,0.12129861004904013,0.9332,0.9376454538159056,0.928997376162837,0.9333013818995127,2025-03-21 14:44:18
20250321_144107,10,0.11233380365939367,0.9346,0.9528973509933775,0.9152421086109566,0.9336902299549824,2025-03-21 14:44:40
20250321_144107,11,0.10525124890058218,0.9322,0.9318939514208604,0.9334499483183589,0.9326713008937438,2025-03-21 14:45:01
20250321_144107,12,0.09945222527599659,0.93572,0.9468795828580739,0.9240677427049376,0.9353345941813207,2025-03-21 14:45:22
20250321_144107,13,0.09355047912824721,0.93548,0.9478026466263683,0.9225570485807426,0.9350094685523188,2025-03-21 14:45:43
20250321_144107,14,0.08780531833569209,0.93472,0.9516381942725097,0.9168323129522143,0.9339110715153479,2025-03-21 14:46:05
20250321_144107,15,0.08149044253692335,0.93304,0.9382587024680441,0.9279637433410193,0.933082826990726,2025-03-21 14:46:26
20250321_144107,16,0.07680587954565782,0.93456,0.9484383965898844,0.9199332114176672,0.9339683564740071,2025-03-21 14:46:47
20250321_144107,17,0.07038978568347944,0.93224,0.9607145880958429,0.9022024330126421,0.9305396096440872,2025-03-21 14:47:08
20250321_144107,18,0.06668891633550326,0.93296,0.9506407606448946,0.9142084757891389,0.9320687418936446,2025-03-21 14:47:30
20250321_144107,19,0.06471574167106427,0.93412,0.9527754763877382,0.9143674962232647,0.933176451495111,2025-03-21 14:47:51
20250321_144107,20,0.058951864285128455,0.93292,0.9386670959433355,0.9272481513874533,0.9329226830926763,2025-03-21 14:48:12
