run_id,epoch,train_loss,val_acc,val_precision,val_recall,val_f1,timestamp
20250321_144821,1,0.29372909584012974,0.91948,0.9569994808790449,0.8794625109326548,0.9165941578620261,2025-03-21 14:48:59
20250321_144821,2,0.18528641947880894,0.93012,0.9455323350337338,0.9137314144867615,0.929359912660224,2025-03-21 14:49:37
20250321_144821,3,0.15524387040308543,0.9336,0.9443223443223443,0.9223980281466169,0.9332314375351942,2025-03-21 14:50:15
20250321_144821,4,0.13462377405491005,0.93648,0.9622276436443173,0.9094378627653653,0.9350882930019621,2025-03-21 14:50:54
20250321_144821,5,0.11972311402664704,0.93696,0.9431241440425361,0.9308261111552835,0.9369347739095638,2025-03-21 14:51:32
20250321_144821,6,0.10277329859178082,0.93828,0.9575385636092221,0.9180249662081578,0.9373655368378323,2025-03-21 14:52:10
20250321_144821,7,0.0918875647594734,0.93952,0.9459895203546956,0.9330523972330445,0.9394764230245777,2025-03-21 14:52:49
20250321_144821,8,0.08118924184315869,0.93904,0.9525096208957669,0.9249423550926295,0.9385235982250908,2025-03-21 14:53:27
20250321_144821,9,0.06916695250337626,0.93924,0.9564894319682959,0.9211258646736106,0.9384746243266232,2025-03-21 14:54:06
20250321_144821,10,0.059027031900323164,0.93804,0.9443190975020145,0.9317802337600382,0.9380077640372994,2025-03-21 14:54:44
20250321_144821,11,0.05138435890125174,0.93848,0.9455161837113568,0.9313826826747237,0.9383962188576463,2025-03-21 14:55:22
20250321_144821,12,0.045241789828960585,0.9386,0.9490808524483488,0.9277252126898307,0.9382815327087773,2025-03-21 14:56:01
20250321_144821,13,0.038398761847088125,0.93816,0.9576039160375011,0.9177069253399062,0.9372310190824198,2025-03-21 14:56:39
20250321_144821,14,0.03285501553315898,0.93616,0.9363426845744258,0.9367893774350003,0.9365659777424483,2025-03-21 14:57:17
20250321_144821,15,0.028453892815959492,0.9374,0.941468890314304,0.9336089687524847,0.9375224559862669,2025-03-21 14:57:56
20250321_144821,16,0.026455487786684516,0.93752,0.9516195161951619,0.9227160690148684,0.9369449378330373,2025-03-21 14:58:34
20250321_144821,17,0.02212899942331168,0.93752,0.9426894944136324,0.9324958257136042,0.9375649532336717,2025-03-21 14:59:13
20250321_144821,18,0.019866236073731565,0.93884,0.9513809445987906,0.9257374572632583,0.938384041910135,2025-03-21 14:59:51
20250321_144821,19,0.018282029951992285,0.93776,0.9484821355904615,0.9266120696509501,0.9374195624195624,2025-03-21 15:00:29
20250321_144821,20,0.01705258333466339,0.93656,0.9586845839245473,0.9132543531843842,0.9354181936639792,2025-03-21 15:01:08
