run_id,epoch,train_loss,val_acc,val_precision,val_recall,val_f1,timestamp
20250321_152151,1,0.3382545878895286,0.91508,0.9472108145106092,0.8802576131032838,0.9125077271790645,2025-03-21 15:22:30
20250321_152151,2,0.2005107969957955,0.92868,0.9499749874937469,0.905939413214598,0.9274347808392007,2025-03-21 15:23:09
20250321_152151,3,0.17011930925302765,0.933,0.9583753784056509,0.9061779438657868,0.9315460378438024,2025-03-21 15:23:47
20250321_152151,4,0.15360038007805948,0.93204,0.9722173988539677,0.8903554106702711,0.9294874455281179,2025-03-21 15:24:26
20250321_152151,5,0.13907000711377787,0.93912,0.9552755127254756,0.9221594974954281,0.9384254389513714,2025-03-21 15:25:05
20250321_152151,6,0.12483561490060521,0.94044,0.9601593625498008,0.9197741909835414,0.9395329949238579,2025-03-21 15:25:44
20250321_152151,7,0.11879887300080993,0.94088,0.9491703763658438,0.9324163154965414,0.9407187550136371,2025-03-21 15:26:23
20250321_152151,8,0.10760148239581763,0.94224,0.9579596873714521,0.9258169674803213,0.9416141031861556,2025-03-21 15:27:02
20250321_152151,9,0.09797736315601537,0.9394,0.9623035773988633,0.9154011290450823,0.9382665743042256,2025-03-21 15:27:40
20250321_152151,10,0.08841385943244914,0.94064,0.955789300682061,0.9247833346585036,0.9400307120342681,2025-03-21 15:28:19
20250321_152151,11,0.0821796203044807,0.94168,0.9464386091704811,0.937107418303252,0.9417499001198562,2025-03-21 15:28:58
20250321_152151,12,0.07529742716729236,0.93992,0.9684459859571948,0.9102329649359943,0.9384375768505615,2025-03-21 15:29:37
20250321_152151,13,0.06899013504588684,0.93796,0.9691914893617021,0.9054623519122207,0.9362436798618818,2025-03-21 15:30:16
20250321_152151,14,0.06173962699312742,0.93908,0.9635967119610803,0.9134133736185099,0.937834197314176,2025-03-21 15:30:55
20250321_152151,15,0.05723158878331282,0.9422,0.9567536517314952,0.9270096207362646,0.941646811775633,2025-03-21 15:31:33
20250321_152151,16,0.05175929638196011,0.9402,0.9599867175826,0.9194561501152898,0.9392844088860008,2025-03-21 15:32:12
20250321_152151,17,0.047740220022546194,0.93948,0.9659703504043127,0.9118231692772522,0.9381160783672133,2025-03-21 15:32:51
20250321_152151,18,0.04362506593013702,0.94044,0.9565969362543238,0.9235111711854973,0.9397629353938266,2025-03-21 15:33:30
20250321_152151,19,0.04020566230981934,0.94052,0.9535416325862915,0.9269301105192017,0.9400475748901342,2025-03-21 15:34:09
20250321_152151,20,0.037981094716458906,0.9404,0.9540502907691047,0.9261350083485728,0.9398854191882514,2025-03-21 15:34:48
