run_id,epoch,train_loss,val_acc,val_precision,val_recall,val_f1,timestamp
20250321_143624,1,0.502583102912319,0.87312,0.8948031231634623,0.8474198934563091,0.8704671675922901,2025-03-21 14:36:38
20250321_143624,2,0.31432180278966215,0.89812,0.9178470254957507,0.8758845511648247,0.8963749542292201,2025-03-21 14:36:51
20250321_143624,3,0.26243526858537375,0.90644,0.9236881311041218,0.8873340224218812,0.9051461940873514,2025-03-21 14:37:05
20250321_143624,4,0.23837063983589613,0.9114,0.9258589511754068,0.895603084996422,0.9104797316412723,2025-03-21 14:37:19
20250321_143624,5,0.22158088712465196,0.91516,0.9269149109913442,0.9025204738808937,0.9145550497522459,2025-03-21 14:37:32
20250321_143624,6,0.20712813562681887,0.91708,0.9272002602895721,0.9063369642999125,0.9166499135539383,2025-03-21 14:37:46
20250321_143624,7,0.1994573476971412,0.9182,0.9320643255661306,0.9032360658344597,0.9174237835655158,2025-03-21 14:38:00
20250321_143624,8,0.1907070964372077,0.91864,0.9248126359900073,0.9124592510137552,0.9185944128712079,2025-03-21 14:38:13
20250321_143624,9,0.1830198787102083,0.91924,0.923403914019891,0.9154011290450823,0.9193851068077461,2025-03-21 14:38:27
20250321_143624,10,0.1768880208738807,0.91908,0.9187430566576734,0.9205692931541704,0.9196552682791215,2025-03-21 14:38:40
20250321_143624,11,0.17203704632666647,0.92172,0.9303776949262441,0.912697781664944,0.9214529399959863,2025-03-21 14:38:54
20250321_143624,12,0.1668664055819414,0.92156,0.9273063918853647,0.9158781903474597,0.921556862274491,2025-03-21 14:39:07
20250321_143624,13,0.1618276098046173,0.92144,0.9244860411167106,0.9188995785958496,0.9216843448440865,2025-03-21 14:39:21
20250321_143624,14,0.15689282240916272,0.92196,0.9217336085092872,0.9232726405343087,0.9225024826216485,2025-03-21 14:39:35
20250321_143624,15,0.1533160326736314,0.92256,0.9245192691294981,0.9212848851077363,0.9228992433293508,2025-03-21 14:39:48
20250321_143624,16,0.14578768043291002,0.92396,0.9284109149277688,0.9197741909835414,0.9240723728881256,2025-03-21 14:40:02
20250321_143624,17,0.14566325796704713,0.92516,0.9309289969409112,0.9194561501152898,0.9251570062802512,2025-03-21 14:40:15
20250321_143624,18,0.14058575216604738,0.92264,0.9224418512344209,0.9239087222708118,0.9231747040597442,2025-03-21 14:40:29
20250321_143624,19,0.13833714945583928,0.9236,0.9275350701402806,0.92001272163473,0.9237585821491298,2025-03-21 14:40:43
20250321_143624,20,0.1348502222372561,0.9226,0.922100587022053,0.9242267631390634,0.9231624508597069,2025-03-21 14:40:56
